#{"t_start": 1765854108.765417, "env_id": "None"}
r,l,t
1075.286235,300,1065.293507
721.037924,400,1069.133644
15.565242,130,1070.508642
911.373254,400,1074.377864
254.123368,133,1075.681002
913.346189,400,1079.540632
54.7599,133,1080.785353
12.482899,341,1084.047341
-47.893292,341,1087.352301
254.114568,133,1088.674705
233.298523,1,1088.723174
67.338697,134,1090.088846
1065.420393,300,1093.019225
573.79861,293,1095.830662
233.103077,142,1097.261941
-27.001782,341,1100.57128
604.973617,300,1103.481764
-32.690002,300,1106.289379
-25.812165,300,1109.097249
-22.011595,4,1109.174419
254.114568,133,1110.40293
1060.537386,300,1113.310618
-32.75847,300,1116.240837
254.123357,133,1117.516637
-17.876747,300,1120.483732
38.890833,341,1123.795575
54.630538,133,1125.092241
255.350361,142,1126.518109
255.35036,142,1127.873981
1063.301988,300,1130.722302
391.837258,341,1133.932574
233.298523,1,1133.97904
254.123346,133,1135.301086
-41.711995,341,1138.603126
-19.565499,400,1142.476999
254.114568,133,1143.793841
170.041343,385,1147.507512
-45.772953,341,1150.795611
254.123362,133,1152.058468
-17.054187,300,1154.914792
-5.164907,7,1155.010672
-22.897225,300,1158.033839
73.669051,133,1159.390783
140.507871,400,1163.15412
896.728877,400,1166.992284
215.386601,1,1167.037069
-37.644493,300,1169.941459
233.298507,1,1169.988597
-29.729559,300,1172.900569
30.447,341,1176.210051
-21.263776,8,1176.319566
54.630164,133,1177.59531
-15.364503,400,1181.449064
-21.786712,300,1184.298075
-54.279605,300,1187.111408
-3.225073,300,1190.028069
1047.197946,300,1192.927312
-10.475462,400,1196.741914
233.298507,1,1196.784795
1063.93827,300,1199.744617
233.29852,1,1199.792834
-11.564821,16,1199.973418
-4.173095,300,1202.947312
-12.737408,400,1206.754357
626.7482,317,1209.797163
48.271951,341,1213.115986
-30.371571,300,1215.988831
43.53107,341,1219.293701
54.630374,133,1220.753368
-7.234632,400,1224.640259
241.101328,152,1226.080455
73.666132,133,1227.501766
233.298493,1,1227.548201
900.176341,400,1231.36153
73.672494,133,1232.590389
1065.968597,300,1235.532153
334.620887,306,1238.44292
255.35036,142,1239.844758
-58.894722,341,1243.138623
-51.147919,341,1246.459484
-43.941436,341,1249.787714
254.114568,133,1251.135703
-13.901131,300,1253.992374
910.424194,400,1257.826736
893.209657,400,1261.735991
389.438534,209,1263.867973
177.344029,400,1267.703703
-40.55864,341,1271.10619
-5.17076,400,1274.985605
427.270583,341,1278.279797
-367.844061,341,1281.556349
-20.620254,300,1284.425575
1024.260349,300,1287.322005
233.298493,1,1287.368825
-37.781032,39,1287.756537
254.114619,133,1289.03413
448.673272,341,1292.331426
48.92786,34,1292.744628
233.298287,1,1292.790797
-49.099734,341,1296.122354
254.114633,133,1297.442299
-49.182167,341,1300.684836
-26.583292,26,1300.98736
150.231283,400,1304.908474
1043.799014,300,1307.77299
-32.365123,330,1311.009706
233.298002,1,1311.056889
897.653569,400,1314.982809
167.927326,400,1318.816822
-12.686877,400,1322.635511
513.971712,300,1325.618365
-12.984389,300,1328.505775
-20.843879,341,1331.74826
254.114684,133,1333.189953
-11.217274,400,1337.092298
233.297718,1,1337.136271
-37.180931,341,1340.477557
1027.687078,300,1343.347471
-9.940428,400,1347.266889
297.961532,400,1351.131472
-29.701539,341,1354.439718
-11.571302,400,1358.377358
32.551878,26,1358.650846
898.415484,400,1362.599959
-17.600651,300,1365.617077
255.350361,142,1367.015348
233.296459,1,1367.061445
-44.279392,159,1368.581747
-14.059427,400,1372.533113
24.39707,22,1372.772508
49.359687,207,1374.808962
207.800567,197,1376.680635
254.123345,133,1378.041589
49.782962,182,1379.783162
54.630372,133,1381.216331
255.350477,142,1382.724393
-78.276891,341,1386.09187
-31.156811,27,1386.369804
45.588005,205,1388.357678
61.843595,166,1389.975426
254.114763,133,1391.294658
254.123345,133,1392.626134
-47.139213,164,1394.254879
233.294394,1,1394.297396
233.293288,1,1394.344855
1070.156603,300,1397.300246
513.463141,300,1400.162363
-40.389452,341,1403.467739
255.35036,142,1404.837905
375.371323,277,1407.531067
-289.373287,341,1410.781646
-22.398746,341,1414.138483
233.279774,1,1414.180835
-13.849724,15,1414.353553
233.28866,1,1414.395358
249.263059,140,1415.808825
254.114763,133,1417.099408
-14.935234,400,1420.976106
254.114589,133,1422.239536
906.413622,400,1426.116622
-9.132024,21,1426.344287
-16.312934,300,1429.234386
