#{"t_start": 1765854108.7637842, "env_id": "None"}
r,l,t
419.615044,226,887.511271
233.298523,1,887.549502
-71.549335,300,889.249329
55.886579,341,891.161344
233.298523,1,891.199674
-14.645782,400,892.005638
848.300708,300,893.672392
112.693254,341,895.46613
897.015449,400,896.280627
-23.231442,341,898.001451
233.298523,1,898.039755
899.605575,400,899.972071
-170.193429,359,901.7465
-62.638952,300,902.362152
233.298523,1,902.40037
69.102729,341,904.171221
60.340396,341,905.931064
13.604192,341,906.641793
61.368163,341,908.440754
1059.380962,300,909.126515
892.473193,400,911.030844
452.676472,300,912.722864
-11.67453,400,914.611862
-22.401801,10,914.663568
-11.522968,4,914.704144
448.055358,300,915.330186
1058.001438,300,917.056589
-25.614314,300,917.738299
437.24763,225,919.29694
-26.829909,300,919.972278
73.934808,220,921.537897
883.79006,400,923.375522
-8.614315,1,923.409034
110.420043,341,924.133849
359.607224,194,925.628802
295.694522,400,926.478465
896.288444,400,928.353514
474.876629,300,930.054904
-16.083047,400,931.953688
43.365915,341,932.605359
472.075313,300,934.376062
-35.280826,341,936.242516
-25.51441,300,936.865304
55.923876,341,938.643753
7.91316,341,939.267543
71.938748,220,940.824215
-27.900843,300,941.462152
-95.426802,183,942.833721
-35.55977,300,943.561758
341.436221,187,945.019772
216.568316,1,945.052938
125.37364,341,945.771062
233.298309,1,945.804216
120.284703,341,947.52746
38.869873,244,949.156727
312.246795,400,950.036208
387.681922,325,951.779941
233.298523,1,951.813416
-7.491791,400,953.660345
422.192951,253,954.180604
206.311357,1,954.214373
-32.279449,300,955.910371
-33.749863,300,956.501547
421.046099,244,958.09049
-35.754672,300,959.84367
233.298523,1,959.876866
233.298523,1,959.909544
112.792997,341,960.58512
905.504996,400,962.39014
448.809651,244,962.929741
-12.283306,300,964.733274
123.661228,341,966.489884
71.066472,341,967.129771
0.448064,10,967.177709
-22.403718,300,968.878291
-13.642042,3,968.913647
557.803756,341,970.684135
63.958771,193,971.090474
233.298523,1,971.12359
75.524917,244,972.818969
329.702086,179,973.18752
-52.245748,238,973.651322
440.405324,341,975.440919
-31.020753,400,977.407335
-58.897106,263,977.937346
-17.501201,5,977.977169
58.686135,341,979.728402
116.146911,341,981.467554
522.375342,264,982.133547
127.893231,341,983.900854
388.856557,208,984.266917
101.580178,341,986.06426
-29.34724,400,987.941123
116.648355,341,988.690046
-15.176633,400,990.60844
1070.660616,300,992.226368
161.893359,341,992.903793
233.298523,1,992.937351
233.298309,1,992.976732
458.578915,341,994.662365
-22.268198,8,994.74213
158.646631,341,996.464304
94.145146,341,997.089685
570.847703,244,998.688038
295.76213,400,1000.622386
-29.914166,400,1001.522227
1057.372844,300,1003.163492
-22.929507,300,1004.897485
-40.937528,300,1005.558036
146.031203,341,1007.315192
-41.758658,300,1008.068786
-56.16594,300,1009.852617
713.095009,251,1010.409238
407.490454,223,1011.963464
11.969533,18,1012.025194
374.450852,341,1013.855817
28.517669,341,1014.57379
233.298523,1,1014.607552
467.73869,341,1016.415374
119.928383,341,1018.098904
312.669182,400,1019.0259
30.107291,28,1019.096896
193.350762,341,1020.917153
-26.120389,300,1022.575437
-18.96941,400,1024.449162
361.50955,195,1024.800012
296.915437,400,1026.842148
471.512654,300,1027.528902
513.919296,341,1029.225297
-21.185801,400,1031.139127
440.268438,233,1031.554996
48.185637,263,1033.212608
-1.27838,400,1034.067571
106.722387,341,1035.789793
-16.416642,300,1037.47365
347.734912,188,1037.914625
-23.685126,300,1039.68666
121.75669,341,1040.352204
87.207236,341,1042.149517
537.243475,341,1043.93716
131.708777,341,1044.536167
434.194395,230,1046.106055
418.476575,222,1046.60004
1058.247384,300,1048.316333
-78.637744,300,1048.890119
399.107445,214,1050.448273
312.235974,400,1052.35622
533.182439,277,1052.866739
422.739554,224,1054.432211
449.254602,341,1055.067986
313.436761,341,1056.839473
363.365866,341,1058.572348
-25.765922,300,1059.078779
-32.480906,400,1060.952036
105.59968,341,1062.70468
265.569598,341,1063.404321
-30.852945,400,1065.259322
114.011544,341,1067.008624
233.298523,1,1067.041831
748.116093,263,1067.5592
74.815361,203,1069.081739
-21.576983,1,1069.115256
435.828317,341,1069.735347
456.513527,341,1071.41536
1039.506329,300,1073.062711
233.298523,1,1073.095846
891.762723,400,1073.93712
68.090651,198,1075.405407
-6.64177,400,1076.195836
578.790627,341,1077.894979
300.414678,400,1079.696853
-6.56831,400,1081.550617
233.298523,1,1081.584209
-10.139811,400,1082.506744
1028.604447,300,1084.183145
477.693477,244,1085.77803
51.542237,341,1086.406834
440.903589,341,1088.16056
414.211734,341,1089.942536
374.898572,341,1090.591912
-28.829374,400,1092.448088
18.015337,28,1092.585951
128.016492,341,1094.350206
453.399865,243,1095.013641
233.298523,1,1095.046737
90.621387,341,1096.759169
210.005257,1,1096.793003
-54.330041,300,1097.435879
28.733269,23,1097.502665
115.983901,341,1099.249851
233.298523,1,1099.28328
-16.133219,400,1101.129715
39.287016,111,1101.418067
135.498503,341,1103.24162
1070.588695,300,1103.877383
913.089198,400,1105.705414
3.736843,400,1107.569952
233.298523,1,1107.603184
502.828235,300,1109.237666
376.797637,202,1109.596044
471.467704,300,1111.20615
-42.571281,300,1111.778466
-79.408253,400,1113.761405
361.24547,341,1115.559328
-76.933357,300,1116.271045
233.298523,1,1116.304232
141.810627,341,1118.088981
54.219316,252,1118.623659
115.95675,341,1120.308199
233.298523,1,1120.343093
343.730614,186,1120.80787
373.45444,203,1122.328984
116.217501,341,1122.996853
479.099033,300,1124.657222
370.848807,341,1126.431511
233.298523,1,1126.466511
241.495511,1,1126.499675
435.801384,243,1126.998024
-30.032945,300,1128.644579
