#{"t_start": 1765854108.7559495, "env_id": "None"}
r,l,t
899.54398,400,2016.222003
-20.062141,300,2021.19798
425.147284,341,2026.844812
-5.070356,300,2031.524202
-116.983597,310,2036.222089
207.341304,202,2039.625542
-30.551781,400,2046.273058
-27.131814,400,2052.865076
-92.715077,341,2058.419677
227.178374,1,2058.469779
390.256922,226,2062.205073
-25.621674,341,2067.789978
267.084289,186,2070.880089
278.454778,163,2073.614997
35.577247,341,2079.205928
-121.761703,319,2084.477017
17.281887,193,2087.705938
672.398794,400,2094.289317
-78.13199,178,2097.169691
357.230131,341,2102.934033
-31.178912,341,2108.611494
-33.555354,341,2113.884676
363.001828,205,2117.279505
-29.731852,341,2122.802643
228.364759,1,2122.850404
229.338346,1,2122.897437
342.328744,341,2128.255932
3.756885,222,2132.072614
-86.188952,341,2137.606166
-28.28021,341,2143.168444
228.591013,1,2143.220157
673.610998,400,2149.776389
1022.073019,300,2154.720258
-25.681106,400,2161.276576
-88.436152,341,2166.922134
-45.486981,341,2172.385732
337.638,400,2178.683372
892.487184,400,2185.385196
300.669155,341,2191.067598
-1.957566,11,2191.276909
-79.635616,341,2196.791842
602.198388,305,2201.861599
614.743864,300,2206.819279
369.798559,341,2212.507408
1026.990489,300,2217.278409
-24.00065,300,2222.268399
228.325215,1,2222.318739
43.834516,341,2227.939023
1038.611402,300,2232.715164
373.478643,341,2238.056434
-20.23674,1,2238.107412
667.87758,400,2244.728953
-41.279813,341,2250.394296
736.272564,373,2256.431593
27.590905,191,2259.556284
-81.464963,320,2264.58403
-34.236213,341,2270.178132
1052.241981,300,2274.829746
-48.315695,341,2280.563041
1072.524727,300,2285.498655
-8.167482,300,2290.513909
326.212243,400,2296.732882
380.69358,341,2302.395327
668.128987,400,2309.013836
-4.58204,400,2315.527278
226.481973,1,2315.577885
31.772984,183,2318.687222
609.492345,300,2323.609194
368.425102,341,2329.334009
-5.828739,400,2335.852006
-29.904259,341,2341.554087
-1.407844,300,2346.157049
640.183509,400,2352.146424
-24.30634,341,2357.375343
-49.779799,341,2362.588779
227.798941,1,2362.636885
612.649174,300,2367.14567
-45.678626,341,2372.237041
-8.483811,400,2378.271942
227.547948,1,2378.320572
388.669992,214,2381.614288
-6.654089,300,2386.159936
267.931542,144,2388.198213
-12.27194,300,2392.752699
-45.923245,341,2398.088813
-28.754172,341,2403.215125
683.211936,400,2409.059564
12.182867,19,2409.360988
907.839577,400,2415.867865
894.467032,400,2422.070317
-27.178655,341,2427.124569
-26.022009,341,2432.204865
325.261963,400,2437.94304
625.514792,300,2442.684606
369.44985,341,2448.019229
14.195924,18,2448.343958
629.537161,300,2453.393703
23.583128,341,2458.830905
898.763423,400,2464.688286
413.578943,230,2468.490146
555.529733,284,2472.968287
896.401213,400,2479.266147
-39.477592,341,2484.875111
-12.182348,400,2491.555224
227.337136,1,2491.60552
683.656455,400,2498.232222
-12.565832,300,2503.153875
228.07567,1,2503.214023
388.115339,214,2506.588114
229.041723,1,2506.638977
1063.96341,300,2511.601541
-4.391426,400,2518.390649
227.547508,1,2518.441173
-18.417874,300,2523.466261
-20.422845,1,2523.516065
399.352191,341,2529.117693
-29.139486,341,2534.452939
-19.639922,300,2539.392541
-37.011902,341,2545.041997
-4.183821,400,2551.718837
271.988508,144,2554.150374
10.03078,341,2559.834831
666.124374,336,2564.848393
-33.574347,341,2570.468976
633.263208,322,2575.884649
8.242006,341,2581.565005
348.990926,341,2587.178215
342.551954,400,2593.73027
321.050243,341,2599.198498
-31.702073,341,2604.922651
352.500542,341,2610.621312
294.207738,155,2613.176836
27.10516,23,2613.585632
899.907695,400,2620.238909
-21.24546,6,2620.3719
407.35841,226,2624.182393
-7.703668,400,2630.848155
228.719433,1,2630.899213
289.561493,153,2633.420514
173.382501,94,2635.090253
-18.000504,300,2640.015061
8.851944,300,2644.999821
211.107496,112,2646.86568
-28.800353,341,2652.214026
2.115851,341,2657.463655
351.034915,341,2662.701848
-15.877054,300,2667.096808
383.831405,236,2670.653971
228.149424,1,2670.704669
43.828817,187,2673.674344
350.831124,341,2678.988976
-4.227415,400,2685.068794
1068.452907,300,2689.735156
741.822722,259,2693.83448
228.113356,1,2693.882836
340.26237,400,2699.940327
-24.355148,341,2705.004057
380.796127,199,2708.023338
-23.166033,14,2708.251549
-6.909552,400,2714.081908
594.727191,400,2720.176748
-19.154441,300,2724.599784
1082.440189,300,2729.150384
499.818344,341,2734.298992
517.982367,352,2739.590822
-4.929083,28,2740.048462
619.326999,313,2744.663974
335.561521,400,2750.444172
911.828886,400,2756.550978
446.827679,341,2762.225015
357.224455,187,2765.42051
255.996942,136,2767.687972
624.122416,300,2772.46733
229.591496,1,2772.518419
-14.833353,300,2777.155182
-12.118671,300,2782.257911
282.657147,149,2784.774944
624.996022,300,2789.829271
-33.391972,341,2795.429797
424.167019,341,2801.069196
-25.848764,20,2801.426863
1071.141127,300,2806.411321
228.43102,1,2806.461788
0.707933,300,2811.355558
1052.107126,300,2816.307151
2.185378,300,2821.292052
227.711388,1,2821.342652
893.878101,400,2827.974435
407.870551,227,2831.762754
-33.102742,31,2832.222873
15.950704,17,2832.493179
-152.064668,341,2837.707705
2.268593,300,2842.298454
-1.399521,300,2847.327545
311.080923,161,2849.943521
290.801591,152,2852.423768
-108.27699,341,2858.071095
374.886977,202,2861.476868
228.396744,1,2861.52755
1.686817,300,2866.519477
672.425623,339,2872.003879
-283.387584,307,2877.152277
39.296305,28,2877.643814
1047.090042,300,2882.679497
-11.777624,300,2887.614634
-0.527571,300,2892.094417
292.940566,152,2894.328922
899.078799,400,2900.352224
901.036043,400,2906.245217
0.703178,300,2910.528866
-8.007648,300,2915.013447
6.440729,300,2919.542098
227.761501,1,2919.590104
392.638109,215,2922.635251
611.049177,300,2927.075764
-13.855039,3,2927.152391
458.75179,341,2932.235483
48.384031,176,2934.816967
-8.149955,400,2940.604244
335.964907,400,2946.591993
902.775927,400,2952.486246
-23.333108,341,2957.544202
260.105347,136,2959.510825
226.511999,1,2959.559968
270.529097,142,2961.714084
-32.464258,341,2966.772765
293.881811,161,2969.311678
358.397879,283,2973.736146
